,name,avg,max,min,importance
16,R,66597,83896,49297,5.3
30,Java,64039,81340,46737,5
12,Python,70895,85507,56282,4.2
31,SPSS,63280,77742,48818,4.2
42,Project Management,57453,70902,44003,3.7
43,Excel,52462,66776,38147,3.7
3,SAS,74210,94629,53791,3.6
10,Hive,71631,89119,54143,3.5
8,Hadoop,72597,85062,60131,3.4
13,SQL,67994,85145,50843,3.4
7,Software Development,72863,91539,54187,3.2
18,Data Analysis,66461,83209,49712,3.2
32,NoSQL,62041,76769,47312,3.2
38,Data Warehouse,61003,72966,49039,3.1
2,Shell Scripting,75617,96245,54988,2.8
17,Business Intelligence,66546,82661,50430,2.8
5,.Net,73624,98431,48816,2.7
34,AWS,61807,75289,48325,2.7
37,AI,61189,75635,46742,2.6
9,Oracle,72039,91269,52808,2.5
40,Microsoft Office,60633,77040,44226,2.5
6,Spark,72954,91974,53934,2.3
45,Pig,47504,57801,37206,2.3
19,Tableau,66406,82537,50275,2.1
27,Scripting,64568,77388,51747,2.1
36,MySQL,61352,72987,49716,2.1
44,PostgreSQL,50909,64745,37073,2.1
0,Machine Learning,84643,108996,60289,2
15,Data Science,67072,82679,51464,1.8
39,Scala,60721,78287,43155,1.4
4,Microsoft SQL Server,73779,92118,55440,1.1
33,Perl,61940,74667,49212,1.1
41,S3,60398,74019,46776,1.1
11,Git,70913,94311,47515,0.9
28,Linux,64566,79710,49421,0.9
25,Big Data,65184,80317,50050,0.8
29,MongoDB,64539,80298,48780,0.8
1,MATLAB,77986,99230,56742,0.7
26,JavaScript,65070,86812,43328,0.5
14,C/C++,67142,84233,50050,0.4
35,Azure,61752,73485,50018,0.2
24,HBase,65315,82195,48434,0.1
20,Cassandra,66174,82298,50050,0
21,TensorFlow,66174,82298,50050,0
22,Kafka,66174,82298,50050,0
23,Natural Language Processing,65907,81764,50050,0